,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,-9999
135,Diego Churín,ar ARG,FW,Atl Goianiense,32,1989,26.5,689,605,77,3,2,7,11,10,0,0,0,0,448,7,33,Matches,875ac6e9
136,Marcelo Cirino,br BRA,FW,Atl Paranaense,30,1992,5.2,87,81,5,0,1,0,7,0,0,0,0,0,52,1,5,Matches,6ba81b35
137,Léo Cittadini,br BRA,MFFW,Atl Paranaense,27,1994,8.0,292,273,19,13,0,3,5,4,1,0,0,0,243,0,6,Matches,68410185
138,Luccas Claro,br BRA,DF,Fluminense,30,1991,5.2,236,225,11,11,0,2,0,0,0,0,0,0,183,0,3,Matches,3cacc0ec
139,Clayton,br BRA,FWMF,Coritiba,23,1999,3.6,62,52,9,0,1,0,1,0,0,0,0,0,50,1,3,Matches,b05870de
140,Cléber,br BRA,FW,Ceará,25,1996,10.9,261,238,22,0,0,0,5,1,0,0,0,0,182,1,5,Matches,e539e239
141,Jean Cléber,br BRA,MF,Avaí,31,1990,9.6,401,390,10,6,1,2,6,4,0,0,0,0,316,1,11,Matches,16bf849a
142,Cleiton,br BRA,DF,Flamengo,18,2003,0.0,,,,,,,0,,,,,,,,,Matches,741c6251
143,Andrés Colorado,co COL,MF,São Paulo,23,1998,3.4,171,168,3,3,1,5,1,0,0,0,0,0,140,0,8,Matches,f3afff11
144,Germán Conti,ar ARG,DF,América (MG),27,1994,18.4,692,668,19,18,0,2,0,1,0,0,0,0,517,5,7,Matches,7b18b6db
145,Jonathan Copete,co COL,FW,Avaí,34,1988,3.1,81,79,1,0,0,0,6,0,1,0,0,0,56,1,7,Matches,ce070a45
146,Bruno Cortez,br BRA,DF,Avaí,34,1987,27.0,1482,1203,277,40,1,6,28,237,0,0,0,0,1191,2,44,Matches,a3a1198a
147,Talles Costa,br BRA,MF,São Paulo,19,2002,6.1,252,243,9,4,1,0,5,5,0,0,0,0,219,0,4,Matches,d8f15d24
148,Lucas Crispim,br BRA,DFMF,Fortaleza,27,1994,13.0,612,481,130,29,0,6,79,58,43,19,20,0,456,1,10,Matches,6501ff61
149,Daniel Cruz,br BRA,FWDF,Botafogo (RJ),20,2001,0.1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,86a118c2
150,Tomás Cuello,ar ARG,FW,Atl Paranaense,21,2000,18.0,653,594,55,12,2,9,74,24,19,15,2,1,459,4,19,Matches,5c8615dd
151,Víctor Cuesta,ar ARG,DF,Botafogo (RJ),33,1988,28.5,1322,1265,53,50,0,7,8,3,0,0,0,0,1085,4,8,Matches,39fb428f
152,Andrés D'Alessandro,ar ARG,FW,Internacional,40,1981,0.8,60,55,5,1,0,0,3,1,3,2,1,0,46,0,2,Matches,6a11048a
153,Adailson Dadá,br BRA,MFFW,Goiás,24,1997,27.9,681,578,100,31,2,12,105,47,22,10,9,0,445,3,37,Matches,2a75cc09
154,Daniel,br BRA,GK,Internacional,27,1994,23.0,566,332,233,62,0,0,0,0,0,0,0,0,385,1,0,Matches,636fc976
155,Danilo,br BRA,DF,Goiás,24,1997,2.6,51,50,1,1,0,0,0,0,0,0,0,0,42,0,0,Matches,415a34c5
156,Danilo,br BRA,MF,Palmeiras,20,2001,30.5,1361,1321,37,32,5,13,16,4,0,0,0,0,1127,3,17,Matches,a816dbfb
157,David,br BRA,MF,Ceará,17,2004,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,16a42430
158,David,br BRA,FW,Internacional,26,1995,9.1,233,211,20,0,0,1,12,4,2,0,1,0,167,2,5,Matches,92f9ace5
159,Kayke David,br BRA,FWMF,Flamengo,19,2003,0.3,19,17,2,0,0,0,2,0,2,2,0,0,15,0,0,Matches,2285358d
160,Giorgian De Arrascaeta,uy URU,MF,Flamengo,27,1994,16.4,908,776,127,45,11,6,132,5,75,35,27,3,659,5,30,Matches,be8d02dd
161,Romildo Del Piage,br BRA,MF,Botafogo (RJ),21,2000,5.7,205,199,4,4,1,2,5,0,0,0,0,0,153,2,9,Matches,679ca46d
162,Denilson,br BRA,MF,Cuiabá,20,2001,7.8,377,371,5,4,2,0,1,1,0,0,0,0,326,1,11,Matches,9144afdf
163,Dentinho,br BRA,FW,Ceará,33,1989,0.6,23,21,2,0,0,0,2,1,1,1,0,0,20,0,1,Matches,85686f86
164,Dentinho,br BRA,FWMF,Avaí,24,1997,3.2,107,106,1,0,2,0,7,0,1,0,0,0,84,0,3,Matches,aaacc628
165,Valentín Depietri,ar ARG,FWMF,Fortaleza,21,2000,2.6,105,104,1,0,0,2,13,1,0,0,0,0,73,0,7,Matches,d02cb5d7
166,Deyverson,br BRA,FW,Cuiabá,30,1991,14.1,329,296,32,0,0,2,10,4,0,0,0,0,175,1,7,Matches,2e5e846d
167,Luan Dias,br BRA,MFFW,Goiás,24,1997,8.6,306,283,19,5,1,1,19,1,7,4,2,0,242,4,15,Matches,a342ce1e
168,Matheus Dias,br BRA,MF,Internacional,24,1997,1.2,35,35,0,0,0,0,0,0,0,0,0,0,29,0,0,Matches,ddfa9005
169,Juan Díaz,co COL,MF,Coritiba,20,2001,1.5,47,47,0,0,0,0,0,0,0,0,0,0,43,0,1,Matches,36839110
170,Diego,br BRA,MFDF,Ceará,33,1988,2.3,84,78,6,1,0,0,8,4,1,0,1,0,47,0,5,Matches,cd09e9a1
171,Diego,br BRA,GK,Atl Goianiense,23,1998,2.0,66,44,21,5,0,0,0,0,0,0,0,0,44,1,0,Matches,6b023405
172,Diego,br BRA,DF,São Paulo,22,1999,19.1,1057,1004,47,25,0,19,6,0,0,0,0,0,888,6,7,Matches,7fb8f90c
173,Diego,br BRA,MF,Flamengo,36,1985,9.8,606,591,13,9,0,1,6,2,2,0,2,0,529,2,5,Matches,255a478a
174,Diego,br BRA,GK,Botafogo (RJ),23,1998,2.0,57,32,24,3,0,0,0,0,0,0,0,0,34,1,0,Matches,6b023405
175,Dieguinho,br BRA,MFDF,Goiás,26,1995,32.1,1116,931,183,15,0,4,87,160,0,0,0,0,825,2,27,Matches,7e5a7340
176,Dodô,br BRA,DF,Atlético Mineiro,29,1992,10.1,471,397,74,4,0,0,34,70,0,0,0,0,386,0,7,Matches,99931185
177,Matheus Donelli,br BRA,GK,Corinthians,19,2002,2.0,44,22,22,3,0,0,0,0,0,0,0,0,35,0,0,Matches,7c736064
